Merk,Tipe,HT,STT,ST,Ket
Advan,S4K,,,✓,
Alcatel,Flash Plus,,✓,,NEW!!!
Alcatel,One Touch,,✓,,NEW!!!
Apple,Ipad 2,✓,✓,,
Apple,Ipad 3,✓,✓,,
Apple,Ipad 4,✓,✓,,
Apple,Ipad AIR 1,✓,✓,,
Apple,Ipad AIR 2,✓,,,
Apple,Ipad Mini 2,,✓,,
Apple,Ipad Mini 3,,✓,,
Apple,Ipad Mini 4,✓,✓,,
Apple,Ipad Mini,✓,✓,,
Apple,Iphone 4,✓,✓,,
Apple,Iphone 5 / SE,✓,✓,✓,
Apple,Iphone 5C,✓,✓,✓,
Apple,Iphone 5S,,,✓,
Apple,Iphone 6+,✓,✓,,
Apple,Iphone 6,✓,✓,✓,
Apple,Iphone 6S+,✓,,✓,
Apple,Iphone 6S,,,✓,
Apple,Iphone 7+,✓,,,
Apple,Iphone 7,✓,,✓,
Apple,Iphone 7S+,,,✓,
Apple,Iphone 7S,,,✓,
Apple,Ipod Touch 5,✓,,,
Asus,Zenfone 2 5.0inch,✓,✓,✓,
Asus,Zenfone 2 5.5inch,✓,✓,✓,
Asus,Zenfone 2 Laser 6inch,,,✓,NEW!!!
Asus,Zenfone 3 5.2inch,✓,✓,✓,
Asus,Zenfone 3 5.5inch,✓,✓,,
Asus,Zenfone 3 Deluxe ZS570KL,✓,,,NEW!!!
Asus,Zenfone 3 Laser,✓,✓,,NEW!!!
Asus,Zenfone 3 Max 5.2 inch,✓,✓,,
Asus,Zenfone 3 Max 5.5 inch,✓,✓,,
Asus,Zenfone 3 Pegasus,,,✓,NEW!!!
Asus,Zenfone 4 Max Pro,,,✓,NEW!!!
Asus,Zenfone 4,✓,✓,,
Asus,Zenfone 4S,✓,✓,✓,
Asus,Zenfone 5,✓,✓,✓,
Asus,Zenfone 6,✓,✓,,
Asus,Zenfone C,✓,✓,✓,
Asus,Zenfone Fonepad 7 (fe170),,,✓,NEW!!!
Asus,Zenfone Go 4.5 Inch,✓,✓,✓,
Asus,Zenfone Go 4.5 inch 2016,✓,,,
Asus,Zenfone Go 5.0 Inch,✓,✓,✓,
Asus,Zenfone Go 5.0 ZB500KL,✓,,✓,NEW!!!
Asus,Zenfone Go 5.5 ZB551KL,✓,,✓,
Asus,Zenfone Laser 5.0 Inch,✓,✓,✓,
Asus,Zenfone Laser 5.5 Inch,✓,✓,✓,
Asus,Zenfone Laser 6.0 inch,✓,,,NEW!!!
Asus,Zenfone Live ZB501KL,✓,✓,✓,NEW!!!
Asus,Zenfone Max ZC550KL,✓,✓,✓,NEW!!!
Asus,Zenfone Selfie,✓,✓,✓,
Asus,Zenfone Zoom,✓,,,
Blackberry,Bellagio 9790,✓,,,NEW!!!
Blackberry,Classic Q20,✓,,,
Blackberry,Dakota,✓,,,
Blackberry,Gemini,✓,,,
Blackberry,Onyx,✓,,,
Blackberry,Passport Q30,✓,,✓,
Blackberry,PRIV,✓,,,
Blackberry,Q10,✓,,✓,
Blackberry,Q5,✓,,,
Blackberry,Z10,✓,,✓,
Blackberry,Z3,✓,,,
Blackberry,Z30,✓,,,
Coolpad,Cool Dual,,,✓,NEW!!!
Coolpad,Fancy 3 (E503),,,✓,NEW!!!
Coolpad,Fancy Pro (E571),,✓,,
Coolpad,Max lite (R108),,✓,,
Coolpad,Power (E520),,,✓,NEW!!!
Coolpad,Roar 3 (A118),,✓,,
Coolpad,Roar Plus (),,,✓,NEW!!!
Coolpad,Shine (R106),,✓,,
Coolpad,Sky (E501),,✓,✓,
Coolpad,Sky 3 (E502),,✓,,
Evercross,A7V,,✓,,
Evercross,One a65,,,✓,NEW!!!
HTC,One M7,,,✓,NEW!!!
HTC,One M8,,,✓,NEW!!!
Huawei,GR3,,,✓,
Huawei,Honor 3C,,,✓,
Huawei,Honor 4A,,,✓,
Huawei,Honor 4C,✓,✓,✓,
Huawei,Honor 4X,✓,,✓,NEW!!!
Huawei,Honor 5X,✓,,,NEW!!!
Huawei,Mate 8,,,✓,NEW!!!
Huawei,Mate 9,✓,,,NEW!!!
Huawei,Mediapad T1 7in,,✓,,NEW!!!
Huawei,P10,,,✓,NEW!!!
Huawei,P8,✓,,,NEW!!!
Huawei,P8 Lite,✓,,✓,NEW!!!
Huawei,P9,✓,,,NEW!!!
Huawei,P9 Lite,✓,,✓,NEW!!!
Huawei,P9 PLUS,✓,,✓,NEW!!!
Huawei,Y330,,,✓,NEW!!!
Huawei,Y5 II,✓,,,NEW!!!
Huawei,Y520,,,✓,NEW!!!
Huawei,Y541,,,✓,
Huawei,Y6 II,✓,,✓,NEW!!!
Huawei,Y6,,,✓,
Infinix,Hot 2 (x510),,✓,✓,
Infinix,Hot 3 (x554),,✓,✓,
Infinix,Hot 4 Pro (x556),,,✓,NEW!!!
Infinix,Hot Note,,✓,✓,NEW!!!
Infinix,Hot S,,,✓,NEW!!!
Infinix,Note 2 (x600),,✓,✓,
Infinix,Note 3 (x601),,✓,,
